ID;Раздел;Вопрос;Ответ;Комментарий
21;4. Визуальный дизайн и стиль (UI);Как должны выглядеть кнопки? (Закругленные углы или строгие прямоугольники, залитые цветом или контурные, тени или плоский дизайн?);закругленные углы;
22;4. Визуальный дизайн и стиль (UI);Нужно ли использовать текстуры или паттерны на фоне? (Карбон, сетка, шум, градиенты?);не обязательно;
23;4. Визуальный дизайн и стиль (UI);Какой стиль иконок предпочтителен? (Line (контурные), Solid (залитые), 3D, цветные или монохромные?);залитые;
24;5. Детальное содержание блоков (UX);[Первый экран] Что будет фоном? (Ваше фото, видео тренировки, абстракция, однотонный цвет?);однородный цвет;
;;;;
26;5. Детальное содержание блоков (UX);[Первый экран] Где должна располагаться кнопка призыва к действию (по центру, справа, слева)?;по центру;
;;;;
28;5. Детальное содержание блоков (UX);[Обо мне] Нужно ли выводить сертификаты и дипломы сканами или иконками?;нет;
29;5. Детальное содержание блоков (UX);[Обо мне] Нужно ли видео-приветствие?;нет;
30;5. Детальное содержание блоков (UX);[Услуги и Цены] Как лучше представить тарифы? (Карточки, таблица сравнения, аккордеон (раскрывающийся список)?);карточки;
31;5. Детальное содержание блоков (UX);[Услуги и Цены] Нужно ли выделять один тариф как 'Популярный/Хит'?;нет;
32;5. Детальное содержание блоков (UX);[Услуги и Цены] Нужен ли переключатель цен (например, 'Месяц' / 'Курс')?;нет;
33;5. Детальное содержание блоков (UX);[Результаты] Какой формат слайдера нужен? (Шторка, где тянешь ползунок по фото, или просто карусель фотографий?);карусель;
34;5. Детальное содержание блоков (UX);[Результаты] Нужно ли подписывать кейсы (сколько кг ушло, сколько времени заняло)?;нет;
35;5. Детальное содержание блоков (UX);[Отзывы] Откуда брать отзывы? (Текстом, скриншоты из переписок, видео-отзывы?);текст либо блок можно не выводить;
36;5. Детальное содержание блоков (UX);[Отзывы] Нужно ли подтягивать отзывы автоматически из соцсетей?;нет;
;;;;
;;;;
39;5. Детальное содержание блоков (UX);[Контакты] Нужно ли отображать мессенджеры кликабельными кнопками?;да;
40;5. Детальное содержание блоков (UX);[Контакты] Нужна ли форма обратного звонка?;да;
41;6. Функционал и интерактивность;Нужны ли всплывающие окна (Pop-up)? (При выходе с сайта, при скролле, при клике на кнопку?);;
42;6. Функционал и интерактивность;Нужен ли калькулятор? (ИМТ, калорий, стоимости программы?);нет;
43;6. Функционал и интерактивность;Нужна ли интеграция с календарем записи? (Dikidi, Yclients и т.д., чтобы клиент сам выбирал время?);нет;
44;6. Функционал и интерактивность;Нужна ли онлайн-оплата на сайте? (Прием карт, криптоплата?);да;
45;6. Функционал и интерактивность;Нужен ли чат-бот или виджет живого чата? (WhatsApp виджет, Telegram виджет?);нет;
46;6. Функционал и интерактивность;Нужна ли интеграция с соцсетями? (Лента Instagram прямо на сайте, кнопка 'Поделиться'?);нет;
47;6. Функционал и интерактивность;Нужна ли система лояльности или реферальная программа на сайте?;нет;
48;6. Функционал и интерактивность;Нужна ли мультиязычность? (Русский, английский и т.д.);нет;
49;7. Контент и материалы;Есть ли у вас профессиональные фотографии? (Нужна ли организация фотосессии, будем использовать стоковые фото или ваши из соцсетей?);будут;
50;7. Контент и материалы;Есть ли готовые тексты? (Нужно ли писать копирайтеру или вы предоставляете готовый текст?);готовый текст;
51;7. Контент и материалы;Есть ли логотип в векторе? (Если нет, нужно ли его разработать?);есть;
52;7. Контент и материалы;Есть ли фирменный стиль? (Гайдлайн, брендбук?);нет;
53;7. Контент и материалы;Есть ли видео-контент высокого качества? (Нарезки тренировок, интервью?);нет;
54;8. Технические требования;Есть ли у вас домен и хостинг? (Нужно ли помочь с покупкой и настройкой?);;
55;8. Технические требования;На какой системе управления (CMS) должен быть сайт? (Tilda, WordPress, Webflow, самописный код (HTML/SCSS/JS)?);laravel+vue;
56;8. Технические требования;Нужна ли адаптивность под конкретные устройства? (Только мобильные/десктоп или также планшеты, часы, телевизоры?);пк+моб+планшет;
57;8. Технические требования;Нужна ли высокая скорость загрузки (оптимизация)? (Критично ли это для рекламы?);да;
58;8. Технические требования;Нужно ли подключать аналитику? (Яндекс.Метрика, Google Analytics, Пиксель Facebook?);яндекс метрика;
59;8. Технические требования;Нужно ли соблюдение требований по доступности (a11y)? (Для людей с ограниченными возможностями?);нет;
60;8. Технические требования;Нужно ли подключение SSL-сертификата (https)?;да;
